task,pool_size,actual_pool_size,repeat,gold_count,top1_accuracy,recall@3,recall@5,recall@10,mrr,ndcg@10
3d-scan-calc,10,10,0,1,1.0,1.0,1.0,1.0,1.0,1.0
adaptive-cruise-control,10,10,0,5,1.0,0.6,1.0,1.0,1.0,1.0
azure-bgp-oscillation-route-leak,10,10,0,1,1.0,1.0,1.0,1.0,1.0,1.0
citation-check,10,10,0,1,1.0,1.0,1.0,1.0,1.0,1.0
civ6-adjacency-optimizer,10,10,0,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
court-form-filling,10,10,0,1,1.0,1.0,1.0,1.0,1.0,1.0
crystallographic-wyckoff-position-analysis,10,10,0,2,1.0,0.5,0.5,0.5,1.0,0.6131471927654584
dapt-intrusion-detection,10,10,0,2,1.0,1.0,1.0,1.0,1.0,0.9197207891481876
data-to-d3,10,10,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dialogue-parser,10,10,0,1,1.0,1.0,1.0,1.0,1.0,1.0
dynamic-object-aware-egomotion,10,10,0,4,1.0,0.75,1.0,1.0,1.0,1.0
earthquake-phase-association,10,10,0,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
earthquake-plate-calculation,10,10,0,1,1.0,1.0,1.0,1.0,1.0,1.0
econ-detrending-correlation,10,10,0,1,1.0,1.0,1.0,1.0,1.0,1.0
energy-ac-optimal-power-flow,10,10,0,3,1.0,1.0,1.0,1.0,1.0,1.0
energy-market-pricing,10,10,0,4,1.0,0.5,0.75,0.75,1.0,0.8048099750039491
enterprise-information-search,10,10,0,1,1.0,1.0,1.0,1.0,1.0,1.0
exceltable-in-ppt,10,10,0,2,1.0,1.0,1.0,1.0,1.0,1.0
exoplanet-detection-period,10,10,0,5,1.0,0.6,0.8,0.8,1.0,0.8687949224876582
financial-modeling-qa,10,10,0,2,1.0,1.0,1.0,1.0,1.0,1.0
find-topk-similiar-chemicals,10,10,0,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7653606369886217
fix-build-agentops,10,10,0,4,1.0,0.75,0.75,0.75,1.0,0.8318724637288826
