task_id,condition,difficulty,category,gold_skill_count,exposed_skill_count,covered_gold_count,missing_gold_count,extra_skill_count,any_gold_coverage,complete_gold_coverage,strict_skill_set_match,gold_recall,skill_precision,top1_is_gold,underload,overload,context_tokens,gold_token_share,exposed_skill_ids,missing_skill_ids,extra_skill_ids
3d-scan-calc,no_skill,hard,industrial-physical-systems,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,,87d4670f1a9023dd,
3d-scan-calc,oracle_gold_all,hard,industrial-physical-systems,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,326,1.0,87d4670f1a9023dd,,
3d-scan-calc,oracle_gold_plus_5_noise,hard,industrial-physical-systems,1,6,1,0,5,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,0.0,1.0,3916,0.08324821246169561,87d4670f1a9023dd;fa024383bd7e070f;32b269cd978f9e2d;217d82abb86b9478;a3737488d2b18c58;d5ba4f14b82ccf61,,217d82abb86b9478;32b269cd978f9e2d;a3737488d2b18c58;d5ba4f14b82ccf61;fa024383bd7e070f
3d-scan-calc,all_skills_visible,hard,industrial-physical-systems,1,202,1,0,201,1.0,1.0,0.0,1.0,0.0049504950495049506,0.0,0.0,1.0,165227,0.001973043146701205,000a9b2b8574a192;0192e007851d2b0b;0280e3a61e7e12f5;0293e825b2727d52;058c46cfae000c17;05d0676b756217f9;073aee9f836b1d9d;083eacd73e8b7f04;0854fdb9ae19ddb6;0d1ccc48e5a8b4d5;0d64a70c5a3251c8;0d6b81c76e2a3910;0de5a385fa68624c;0e4cbc014c48e0c9;0e6987f445736afb;0ee48efd91ee6604;0f252a6029e4015f;0fdecc0cec789dcb;0ffc5de067cdfb22;10456f2d4de1698a;126365f595950ed7;14407116825a4325;14ac47049bdc1434;1503d1be1e8e26c9;17dfd76ef03ddb0f;1dc66a5da2cc5c7e;1e36f538a22a9b6f;1ecb32eddab05a34;2017d91d1c823724;213e89e6821ec983;215b9549d0f1fc63;217d82abb86b9478;21e1bfd3f97726ae;227f9a75d1052d91;23abe856cdab64c5;23dc5c4dcd6edd23;245dce62b82c1232;24ab86b2cf59cfbe;24f7b76ab8d3193a;2574142d5276a635;26c145f54e88e8b8;2ac95f977230db4d;2d63a9f1a59217d1;3026d450eb86f29d;32b269cd978f9e2d;330004f1a8ca193d;355b958b30ac2486;36ec54f418303b5d;3798ab2084a42dc9;3aec6916ebd98c2c;3c111bc97d3bc98c;3c22e15fe4480f0f;3cad0d46dea0d692;3d6434fc90458dcf;3dda851c5c4f9494;40b1f75c5dbfbb79;42a510a5050d1d73;4325f78620af286a;434c8a8769d533ca;442cbda8770203cb;446d457c0434a643;49b687006a4531ea;4ae08fa82d74ea46;4c7cfaca4a1c49e4;4c8dffff115deeae;503511e1e80e82ef;5169cb565799e2ca;518d7262c5e9c3ba;51ca888e3d57e1ef;52d656ae3c1dc5ba;5349e3959b10d707;53a9bcea26c96988;550312d5948fcb4b;57b0f1a549d0964b;5933acc90ce0140b;5ad281cddc670a94;5ad49accb45e5d03;5bdabe086ac325fd;5c0407d1c1611416;5ea1ed3d284c5cee;5ec242a17cdb3eb8;5f8c80f0028cff37;6011036cf07d319d;61de4d934a8383ee;68b7406435044d61;68d29edcdeb94dfb;69501fb14bb1584f;697e2e9b8691a454;6bae24430025462c;6c2fb9341d431b7d;6c6c03cd65116395;6ca4fe017e50d08c;6cbf4583cb139f57;6e38b7b0ca574433;6e4e832ce13c5063;7076683d0e08ecd3;70ec045129f36f6b;72a3bdf4860f9044;72eb4a19c9494bf3;73be0cc720e27390;74b54b921704890e;764a18382322df96;76a0c383b456e6dc;775e58e4cfd84271;78f120b728ee8bc1;79ce0870ad581678;7b71830304b3adfb;7bae788fa89f5a77;7be1e844bcfe53c7;7e281c05a3aa875a;81255d184902244a;812fd864bae22164;8158ab5b5d9c151e;83039fe895d7f84d;845e105aca6594a6;858d8ee9102dfe55;86bcdf7d56da985b;87d4670f1a9023dd;8b612c0657be3296;8d33d333fb2997b4;8d89c9685a811200;912a92bec998d91a;91f3cdb6f314224f;94359ada01e58917;94c9547244452b76;98f1fbf9ecef08a6;9abfeda96d69369e;9cc9bfa5298365fe;9e35600f9d85ccf4;9fedb035deb34c9e;a09e84a5ffcc384e;a17d769db003c6fb;a243af00b727572e;a3737488d2b18c58;a6bda963421663b1;abf9e5af4631984f;ac56115a1a34f5fe;aca71e333ef9338a;acd1ea5277675194;acd829aac55fa794;adf47a38f6038d61;aee41adf30ec244f;b0d1a9e1f9c8fc0c;b0eab0255497e6db;b15bb3404a627343;b28d9e3162e27e1e;b3200000ff977d83;b3ba4f9147d3b7da;b5853498ea727755;b97f764dd4d06c35;bcbfd21881034cc2;bd8ff4c78ee87546;bf5640542e5f60f7;c1b40b2342b53d57;c2731787b401a928;c3ef1d5267290c0d;c4df557859141ae6;c6af3c3a993393aa;c7d525477ec504f8;c94736b7fc2f852a;ca389008cf68cd34;cbb9a068deb16c3a;cca68760b521f7c0;cf5330668bfcf23c;cfae50431c4ca2c9;d280098563389d31;d3943303fd9f6d10;d5b9d4946cb8c032;d5ba4f14b82ccf61;d6bf1ead0fbae21b;d75dfcb765483907;d7f691a9da8e7178;d955fdb06fa3e2c0;db8ef4b07ed8e299;dc1d727659ba625c;dc474bfe54d181fa;dcbdfa522d44682f;dccf8e491ecfb143;dcd2d43b6c313afe;ddf39648f1b5dcb7;de41522353b236be;de4f39085d27ab62;e09253dfe760c41b;e119ca9072017007;e1fd9b4ff0d6bef0;e447cbb57e99e8a5;e91cc46e14b35c83;eaa463f14461220a;ee1154e16a70a312;f09719fd9bc6ae37;f29a17bf8c5e8f44;f30ec5270e1ef956;f45740f2d6cfc18a;f7105dc74ee51c73;f87f6cfd79e67059;f88b765bc2ac4766;f9404a2abc270846;fa024383bd7e070f;fb7aeb36606f99f3;fe09ff692368fe40;ff586ec01bafaf80;ffbf0fd68bc7ef3e,,000a9b2b8574a192;0192e007851d2b0b;0280e3a61e7e12f5;0293e825b2727d52;058c46cfae000c17;05d0676b756217f9;073aee9f836b1d9d;083eacd73e8b7f04;0854fdb9ae19ddb6;0d1ccc48e5a8b4d5;0d64a70c5a3251c8;0d6b81c76e2a3910;0de5a385fa68624c;0e4cbc014c48e0c9;0e6987f445736afb;0ee48efd91ee6604;0f252a6029e4015f;0fdecc0cec789dcb;0ffc5de067cdfb22;10456f2d4de1698a;126365f595950ed7;14407116825a4325;14ac47049bdc1434;1503d1be1e8e26c9;17dfd76ef03ddb0f;1dc66a5da2cc5c7e;1e36f538a22a9b6f;1ecb32eddab05a34;2017d91d1c823724;213e89e6821ec983;215b9549d0f1fc63;217d82abb86b9478;21e1bfd3f97726ae;227f9a75d1052d91;23abe856cdab64c5;23dc5c4dcd6edd23;245dce62b82c1232;24ab86b2cf59cfbe;24f7b76ab8d3193a;2574142d5276a635;26c145f54e88e8b8;2ac95f977230db4d;2d63a9f1a59217d1;3026d450eb86f29d;32b269cd978f9e2d;330004f1a8ca193d;355b958b30ac2486;36ec54f418303b5d;3798ab2084a42dc9;3aec6916ebd98c2c;3c111bc97d3bc98c;3c22e15fe4480f0f;3cad0d46dea0d692;3d6434fc90458dcf;3dda851c5c4f9494;40b1f75c5dbfbb79;42a510a5050d1d73;4325f78620af286a;434c8a8769d533ca;442cbda8770203cb;446d457c0434a643;49b687006a4531ea;4ae08fa82d74ea46;4c7cfaca4a1c49e4;4c8dffff115deeae;503511e1e80e82ef;5169cb565799e2ca;518d7262c5e9c3ba;51ca888e3d57e1ef;52d656ae3c1dc5ba;5349e3959b10d707;53a9bcea26c96988;550312d5948fcb4b;57b0f1a549d0964b;5933acc90ce0140b;5ad281cddc670a94;5ad49accb45e5d03;5bdabe086ac325fd;5c0407d1c1611416;5ea1ed3d284c5cee;5ec242a17cdb3eb8;5f8c80f0028cff37;6011036cf07d319d;61de4d934a8383ee;68b7406435044d61;68d29edcdeb94dfb;69501fb14bb1584f;697e2e9b8691a454;6bae24430025462c;6c2fb9341d431b7d;6c6c03cd65116395;6ca4fe017e50d08c;6cbf4583cb139f57;6e38b7b0ca574433;6e4e832ce13c5063;7076683d0e08ecd3;70ec045129f36f6b;72a3bdf4860f9044;72eb4a19c9494bf3;73be0cc720e27390;74b54b921704890e;764a18382322df96;76a0c383b456e6dc;775e58e4cfd84271;78f120b728ee8bc1;79ce0870ad581678;7b71830304b3adfb;7bae788fa89f5a77;7be1e844bcfe53c7;7e281c05a3aa875a;81255d184902244a;812fd864bae22164;8158ab5b5d9c151e;83039fe895d7f84d;845e105aca6594a6;858d8ee9102dfe55;86bcdf7d56da985b;8b612c0657be3296;8d33d333fb2997b4;8d89c9685a811200;912a92bec998d91a;91f3cdb6f314224f;94359ada01e58917;94c9547244452b76;98f1fbf9ecef08a6;9abfeda96d69369e;9cc9bfa5298365fe;9e35600f9d85ccf4;9fedb035deb34c9e;a09e84a5ffcc384e;a17d769db003c6fb;a243af00b727572e;a3737488d2b18c58;a6bda963421663b1;abf9e5af4631984f;ac56115a1a34f5fe;aca71e333ef9338a;acd1ea5277675194;acd829aac55fa794;adf47a38f6038d61;aee41adf30ec244f;b0d1a9e1f9c8fc0c;b0eab0255497e6db;b15bb3404a627343;b28d9e3162e27e1e;b3200000ff977d83;b3ba4f9147d3b7da;b5853498ea727755;b97f764dd4d06c35;bcbfd21881034cc2;bd8ff4c78ee87546;bf5640542e5f60f7;c1b40b2342b53d57;c2731787b401a928;c3ef1d5267290c0d;c4df557859141ae6;c6af3c3a993393aa;c7d525477ec504f8;c94736b7fc2f852a;ca389008cf68cd34;cbb9a068deb16c3a;cca68760b521f7c0;cf5330668bfcf23c;cfae50431c4ca2c9;d280098563389d31;d3943303fd9f6d10;d5b9d4946cb8c032;d5ba4f14b82ccf61;d6bf1ead0fbae21b;d75dfcb765483907;d7f691a9da8e7178;d955fdb06fa3e2c0;db8ef4b07ed8e299;dc1d727659ba625c;dc474bfe54d181fa;dcbdfa522d44682f;dccf8e491ecfb143;dcd2d43b6c313afe;ddf39648f1b5dcb7;de41522353b236be;de4f39085d27ab62;e09253dfe760c41b;e119ca9072017007;e1fd9b4ff0d6bef0;e447cbb57e99e8a5;e91cc46e14b35c83;eaa463f14461220a;ee1154e16a70a312;f09719fd9bc6ae37;f29a17bf8c5e8f44;f30ec5270e1ef956;f45740f2d6cfc18a;f7105dc74ee51c73;f87f6cfd79e67059;f88b765bc2ac4766;f9404a2abc270846;fa024383bd7e070f;fb7aeb36606f99f3;fe09ff692368fe40;ff586ec01bafaf80;ffbf0fd68bc7ef3e
3d-scan-calc,bm25_top1,hard,industrial-physical-systems,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,326,1.0,87d4670f1a9023dd,,
3d-scan-calc,tfidf_top1,hard,industrial-physical-systems,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,326,1.0,87d4670f1a9023dd,,
3d-scan-calc,neural_minilm_top1,hard,industrial-physical-systems,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,326,1.0,87d4670f1a9023dd,,
3d-scan-calc,hybrid_bm25_neural_top1,hard,industrial-physical-systems,1,1,1,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,326,1.0,87d4670f1a9023dd,,
3d-scan-calc,bm25_top3,hard,industrial-physical-systems,1,3,1,0,2,1.0,1.0,0.0,1.0,0.3333333333333333,1.0,0.0,1.0,1950,0.1671794871794872,87d4670f1a9023dd;68b7406435044d61;42a510a5050d1d73,,42a510a5050d1d73;68b7406435044d61
3d-scan-calc,tfidf_top3,hard,industrial-physical-systems,1,3,1,0,2,1.0,1.0,0.0,1.0,0.3333333333333333,1.0,0.0,1.0,1796,0.18151447661469933,87d4670f1a9023dd;227f9a75d1052d91;f7105dc74ee51c73,,227f9a75d1052d91;f7105dc74ee51c73
