condition,retriever,top_k,build_seconds,score_seconds_total,score_seconds_per_task,any_gold_coverage,complete_gold_coverage,strict_skill_set_match,gold_recall,skill_precision,top1_is_gold,underload,overload,missing_gold_count,extra_skill_count,exposed_skill_count,context_tokens,gold_token_share,tasks,median_context_tokens,any_gold_coverage_std,complete_gold_coverage_std,strict_skill_set_match_std,gold_recall_std,skill_precision_std,top1_is_gold_std,underload_std,overload_std,missing_gold_count_std,extra_skill_count_std,exposed_skill_count_std,context_tokens_std,gold_token_share_std
no_skill,no_skill,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.6666666666666665,0,0,0,0.0,87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5136669843342694,0.0,0.0,0.0,0.0
oracle_gold_all,oracle_gold_all,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,0,2.6666666666666665,2313.574712643678,1.0,87,1836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5136669843342694,1647.284813234273,0.0
oracle_gold_plus_5_noise,oracle_gold_plus_5_noise,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.3243145743145743,1.0,0.0,1.0,0,5,7.666666666666667,6217.770114942528,0.3482512646250475,87,5657,0.0,0.0,0.0,0.0,0.12148240115769209,0.0,0.0,0.0,0.0,0.0,1.5136669843342694,2068.0585414975335,0.15615658815982345
bm25_top1,bm25,1,0.04722020800181781,0.4845515429806255,0.005569557965294547,0.7471264367816092,0.19540229885057472,0.19540229885057472,0.3794198139025725,0.7471264367816092,0.7471264367816092,0.8045977011494253,0.25287356321839083,1.9195402298850575,0.25287356321839083,1,1170.5632183908046,0.7471264367816092,87,1002,0.4346590896825066,0.39651007610713424,0.39651007610713424,0.34763103971402703,0.4346590896825066,0.4346590896825066,0.39651007610713424,0.4346590896825066,1.5026290432056093,0.4346590896825066,0.0,812.8999981073781,0.4346590896825066
bm25_top3,bm25,3,0.04722020800181781,0.4845515429806255,0.005569557965294547,0.896551724137931,0.5057471264367817,0.11494252873563218,0.7130541871921182,0.5517241379310345,0.7471264367816092,0.4942528735632184,0.7471264367816092,1.0114942528735633,1.3448275862068966,3,3663.862068965517,0.5142577962488412,87,3474,0.3045434781492361,0.4999669694467022,0.31895257300026686,0.340157655273831,0.3229319157962525,0.4346590896825066,0.4999669694467022,0.4346590896825066,1.3260801528588122,0.9687957473887576,0.0,1888.2716915144997,0.355221681865485
bm25_top5,bm25,5,0.04722020800181781,0.4845515429806255,0.005569557965294547,0.9655172413793104,0.5747126436781609,0.011494252873563218,0.7939244663382594,0.3931034482758621,0.7471264367816092,0.42528735632183906,0.9655172413793104,0.7011494252873564,3.0344827586206895,5,6197.712643678161,0.32667391212743596,87,6041,0.18246560765962694,0.49438650960015096,0.1065933160401805,0.2781330339005158,0.2338056484614459,0.4346590896825066,0.49438650960015096,0.18246560765962694,1.0407219259232365,1.1690282423072293,0.0,2443.4295847879775,0.23513700871854606
bm25_top10,bm25,10,0.04722020800181781,0.4845515429806255,0.005569557965294547,0.9770114942528736,0.6666666666666666,0.0,0.8452928297755884,0.21724137931034482,0.7471264367816092,0.3333333333333333,1.0,0.4942528735632184,7.827586206896552,10,13297.724137931034,0.15568988339325243,87,13663,0.1498667219586816,0.4714045207910317,0.0,0.2476727177035795,0.1332242915198691,0.4346590896825066,0.4714045207910317,0.0,0.8287029502379739,1.332242915198691,0.0,2974.772258991541,0.11607363452655611
hybrid_bm25_neural_top1,hybrid_bm25_neural,1,4.448440541000309,0.013986627986014355,0.00016076583891970524,0.8045977011494253,0.1839080459770115,0.1839080459770115,0.39953475643130815,0.8045977011494253,0.8045977011494253,0.8160919540229885,0.19540229885057472,1.8620689655172413,0.19540229885057472,1,1030.183908045977,0.8045977011494253,87,856,0.39651007610713424,0.3874091849736257,0.3874091849736257,0.3300459207169567,0.39651007610713424,0.39651007610713424,0.3874091849736257,0.39651007610713424,1.4868961252211872,0.39651007610713424,0.0,739.91463516223,0.39651007610713424
hybrid_bm25_neural_top3,hybrid_bm25_neural,3,4.448440541000309,0.013986627986014355,0.00016076583891970524,0.9195402298850575,0.4482758620689655,0.10344827586206896,0.6851943076081007,0.5478927203065134,0.8045977011494253,0.5517241379310345,0.7701149425287356,1.0229885057471264,1.3563218390804597,3,2973.8505747126437,0.5303990218939519,87,2897,0.2720036681884881,0.4973174173053778,0.3045434781492361,0.3257938941897192,0.3073265077418464,0.39651007610713424,0.4973174173053778,0.4207587406373133,1.1839638420062613,0.9219795232255391,0.0,1297.1150794729901,0.33892225457936875
hybrid_bm25_neural_top5,hybrid_bm25_neural,5,4.448440541000309,0.013986627986014355,0.00016076583891970524,0.9770114942528736,0.5747126436781609,0.011494252873563218,0.8046524356869185,0.3977011494252874,0.8045977011494253,0.42528735632183906,0.9540229885057471,0.6781609195402298,3.0114942528735633,5,5098.264367816092,0.36125109472181277,87,4990,0.1498667219586816,0.49438650960015096,0.1065933160401805,0.2608886863598598,0.23585355455044793,0.39651007610713424,0.49438650960015096,0.2094352546929724,0.9999339388934044,1.1792677727522396,0.0,1937.497535540265,0.23562139008853025
